step,cwnd,rtt,srtt,rtt_dev,lost,in_flight,delivery_rate,crt_proto_id,thruput,loss_rate,srtt_avg_10,srtt_min_10,srtt_max_10,srtt_avg_200,srtt_min_200,srtt_max_200,srtt_avg_1000,srtt_min_1000,srtt_max_1000,rtt_dev_avg_10,rtt_dev_min_10,rtt_dev_max_10,rtt_dev_avg_200,rtt_dev_min_200,rtt_dev_max_200,rtt_dev_avg_1000,rtt_dev_min_1000,rtt_dev_max_1000,lost_avg_10,lost_min_10,lost_max_10,lost_avg_200,lost_min_200,lost_max_200,lost_avg_1000,lost_min_1000,lost_max_1000,in_flight_avg_10,in_flight_min_10,in_flight_max_10,in_flight_avg_200,in_flight_min_200,in_flight_max_200,in_flight_avg_1000,in_flight_min_1000,in_flight_max_1000,thruput_avg_10,thruput_min_10,thruput_max_10,thruput_avg_200,thruput_min_200,thruput_max_200,thruput_avg_1000,thruput_min_1000,thruput_max_1000,arm_0,arm_1,arm_2,arm_3,arm_4,arm_5,arm_6,arm_7,arm_8,arm_9,arm_10,reward
10,62.171945701357465,52.99881900452491,434945.19457013573,5022.959276018099,0.0,52.00452488687783,54.36199095022624,2.0,11.197711384615381,0.0,435950.02443438926,430313.04977375566,441887.58371040726,413308.71393665136,349275.46153846156,467327.8416289593,391382.45051583694,246544.0,1082925.0,5027.791855203617,3412.289592760181,6785.538461538462,5062.707285067874,621.393665158371,13463.511312217195,8371.743520361993,466.33031674208144,204929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1619909502262,50.86425339366516,53.67420814479638,51.069457013574656,37.710407239819006,58.16742081447964,45.30242986425338,0.0,59.0,11.20686678733031,10.822230769230774,11.555668778280529,11.364592081447958,9.778164162895939,12.024647556561119,11.026053755656118,2.705140000000016,12.415860000000032,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2365.877909798672
11,59.95652173913044,28.905669565217387,239423.88260869565,4403.791304347826,0.0,29.091304347826085,29.956521739130434,2.0,11.223980678260872,0.0,238501.99521739158,233948.07826086957,243363.7304347826,280029.63586956525,202415.34782608695,365558.5391304348,351849.3722173911,202246.41739130433,849526.8478260869,4698.219565217391,3075.895652173913,6753.530434782609,6254.406086956522,996.6347826086957,43015.36956521739,7362.848095652175,485.0,136873.68695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.962173913043472,27.691304347826087,30.534782608695654,29.732239130434774,5.956521739130435,43.39565217391304,40.23691304347828,0.0,59.0,11.228374826086954,10.783068217391287,11.586065217391328,11.206675173913048,9.870433130434769,12.005180478260927,11.08977204347826,4.395670130434797,12.415860000000034,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4358.236519043297
12,62.42982456140351,31.32838157894736,256562.37719298244,4669.149122807017,0.0,31.43421052631579,32.35526315789474,2.0,11.299913469298243,0.0,255120.4017543859,250415.3596491228,260269.05701754385,249012.55934210538,214740.30263157896,409607.26754385966,317766.82200000004,201866.0,475242.0,4863.831578947368,3081.5438596491226,6994.19298245614,12145.3752631579,1011.3684210526316,90240.17105263157,7210.309535087721,485.0,108356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.22982456140349,29.94298245614035,32.728070175438596,28.238245614035094,19.223684210526315,36.228070175438596,36.84086403508774,1.3421052631578947,59.0,11.323596710526314,10.861289868421034,11.737145921052631,10.599052850877195,4.092494035087725,12.165834736842129,11.056821403508769,2.7946500000000034,12.292829122806948,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4075.7943064518863
13,66.82403433476395,33.46445922746782,277228.8626609442,8386.618025751073,0.0,33.48068669527897,34.55793991416309,2.0,10.81638603004292,0.0,277042.5437768239,267820.3776824034,287994.30472103006,265833.0350858371,226628.62660944206,382390.0,260043.02044206034,201306.0,449959.0,8415.892274678112,5035.351931330472,12049.137339055795,7371.098497854077,830.068669527897,45264.53648068669,8380.50736480687,732.0,108356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.32660944206009,31.879828326180256,35.20600858369099,32.013304721030046,26.1931330472103,39.34334763948498,29.952369098712456,8.025751072961373,43.63090128755365,10.817411158798283,10.107936351931317,11.503647167381967,10.912556652360523,7.04996412017165,12.355327210300429,10.891069012875537,2.7946500000000043,12.435151330472097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3496.073634120727
14,57.560165975103736,53.336107883817405,436032.45228215767,3738.585062240664,0.0,52.788381742738586,54.30705394190871,2.0,11.359397385892109,0.0,435765.908713693,431605.5601659751,440180.8174273859,413575.4134232365,378754.1286307054,451176.84647302906,310757.1278630705,201306.0,454489.0622406639,3710.4128630705386,2555.9585062240662,5084.170124481328,3743.1055601659764,592.3900414937759,11041.278008298756,6454.453564315353,579.3983402489627,66519.35684647303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.79419087136932,51.7344398340249,54.07053941908714,50.93935684647304,46.71369294605809,57.29875518672199,37.794477178423236,22.04979253112033,57.29875518672199,11.382157634854773,11.096517302904582,11.623761576763465,11.4277308713693,10.37472618257258,11.875170539419083,11.108823153526968,4.806498132780095,12.511219999999984,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.2971843019136
15,58.016666666666666,48.15195416666665,393032.35,3807.070833333333,0.0,47.7625,49.37083333333333,2.0,11.349812570833336,0.0,392936.1395833332,388787.7125,397457.5833333333,399118.4760208335,381094.49166666664,434217.8625,382784.1566000002,251323.8375,473028.0,3743.35333333333,2418.1583333333333,5097.845833333334,3828.6818333333345,494.35833333333335,12500.3125,4328.451483333332,314.0,28479.804166666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.76541666666665,46.6625,48.9,48.378583333333346,45.204166666666666,53.7875,46.7910416666667,29.154166666666665,58.0,11.346078916666666,11.093165083333338,11.558769749999982,11.329169874999991,10.07829304166661,11.834211999999974,11.311164916666662,8.293044124999987,12.208082999999979,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2675.2443362335935
16,61.912,40.991976000000015,340559.628,4443.236,0.9,44.072,42.112,2.0,10.951332628000003,0.007960000000000002,342388.634,334858.068,350040.736,376641.9750999997,323560.596,471894.456,402625.80150399986,321291.592,487604.868,4376.410800000001,2959.484,5907.876,3964.757400000002,168.1,14461.928,3705.9187600000014,168.1,14926.104,0.9,0.364,1.44,0.9,0.0,12.84,0.2181400000000009,0.0,15.0,44.38240000000001,41.676,47.148,49.15064,37.796,92.468,49.67044399999998,37.62,98.84,10.975267200000001,10.57911076,11.343145040000008,10.997367160000003,7.403816039999984,11.779475519999972,11.254194800000002,7.248649199999982,11.879531119999964,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.508640701418
17,59.47933884297521,38.47119421487604,313113.9504132231,3993.301652892562,0.0,38.80578512396694,39.46280991735537,2.0,11.353579140495862,0.0,312085.6119834712,307986.5909090909,316416.64049586776,293157.92601239664,270852.6652892562,327817.9834710744,347565.94383884297,267837.0,487613.0,3995.0210743801667,2523.3553719008264,5825.194214876033,3977.719090909091,780.0826446280992,12946.471074380166,3843.905537190083,143.0,15010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22500000000000092,0.0,15.0,38.63925619834708,37.5,39.98347107438016,35.718016528925595,31.731404958677686,41.33057851239669,42.979863636363646,31.0,99.0,11.35971685950413,10.957827768595028,11.694434462809918,11.33119202479339,10.2836615702479,12.145218677685952,11.225299008264475,6.987759999999984,12.145218677685952,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350.656697911808
18,83.29166666666667,34.271387499999996,281345.8333333333,3951.475,0.0,34.15833333333333,35.3125,2.0,11.364668916666663,0.0,280082.8720833333,275688.26666666666,284676.6583333333,305838.8176874999,229721.35833333334,490345.2375,317232.37333333323,225085.0,592252.0,3981.075000000001,2657.75,5475.729166666667,8901.00847916666,703.9416666666667,52310.59166666667,5614.483762500001,182.67916666666667,72872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04277083333333331,0.0,3.25,34.017916666666665,32.9875,35.15416666666667,35.91833333333334,24.945833333333333,50.72083333333333,38.3051375,23.0,67.96666666666667,11.366028583333332,11.072713833333314,11.643817416666673,11.140811875000013,6.619038999999989,12.006830374999957,11.222770875000004,4.953809999999981,12.241509999999964,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3768.615796508393
19,75.3695652173913,46.052282608695656,384251.2173913043,54222.17391304348,0.0,25.108695652173914,26.02173913043478,2.0,5.862266554347824,0.0,382871.6445652174,320294.9347826087,453397.9130434783,331533.8760869566,201244.19565217392,511605.4673913043,319964.0455,201205.41304347827,600045.1195652174,50839.46630434782,29126.760869565216,71760.11956521739,12797.804673913044,621.75,82889.52173913043,7222.853826086958,558.0,89982.38043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.766304347826086,20.293478260869566,29.08695652173913,35.86304347826088,17.75,46.0,37.8575760869565,17.75,58.0,6.154604130434782,4.739264130434781,7.883521521739135,10.29497989130435,4.11619684782608,12.119349130434772,11.084956195652174,3.655566413043472,12.241509999999982,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.2424407125816
