
 0, 2030.690227798222, 2518305.412986412, 26708.652612095768, 2783.5566743462514, 1.0, 20.92565219568374, 1625.5880981729815, 14.368517987445435, 2030.690227798222, 1, 429407.9251, none, 19448448
 2, 1460.8669227378407, 2398317.2077144524, 12300.753042321398, 7769.280452928628, 5815.0, 185.10034799942986, 1976.9089341904732, 172.90435291782623, -569.8233050603812, 2, 439445.0421, none, 19448700
 2, 1515.0285903919307, 2144933.007043838, 11242.234994042588, 11825.148098010417, 4030.0, 186.3506233835944, 2072.5731481827247, 156.4899303704154, 54.161667654090024, 3, 528820.0112, none, 19448951
 2, 1329.8034183691984, 2707489.7179803383, 12075.111659159613, 15618.493218821415, 4023.0, 170.80310601584443, 2075.8005153397817, 163.13191967530327, -185.2251720227323, 4, 522531.6581, none, 19449209
 2, 1468.9410695589086, 2061573.8124697197, 24987.032363657745, 19827.23498917749, -13863.0, 221.34678114545574, 1979.376352080919, 199.86464332237182, 139.13765118971014, 5, 438894.9153, none, 19449462
 2, 1104.1448507935306, 2586439.742466611, 20725.085360566463, 23839.763024013024, 21856.0, 128.16178266178267, 1969.6463859036298, 119.60847866270987, -364.79621876537794, 6, 357500.3472, none, 19449714
 2, 1364.991171768523, 1991210.66354267, 24427.929491664254, 27834.15213769718, 3996.0, 131.15640572018282, 1920.1635294761184, 110.11541186838816, 260.8463209749923, 7, 560874.0849, none, 19449966
 2, 1201.2967791787403, 2519277.952870545, 17976.7068259102, 31784.722296626984, 3989.0, 176.5229552155292, 2011.3944102921616, 163.572514458805, -163.69439258978264, 8, 366927.0584, none, 19450218
 2, 1449.709355630593, 1967917.2646796694, 20432.770867362982, 35873.68794300444, 4040.0, 123.22620933699773, 1969.3470749444198, 101.80789048987916, 248.41257645185283, 9, 661352.5642, none, 19450470
 2, 1213.9188269093106, 2702540.0463336944, 20781.655110571508, 39661.52596314908, 4013.0, 130.56993299832496, 1982.3715068555446, 127.79005497310848, -235.7905287212825, 10, 382105.3708, none, 19450722
 2, 1445.3602234290558, 2003280.6385680786, 28404.673284622502, 43836.44782913165, 3949.0, 122.00654702592499, 1953.4377175782893, 107.3939882647943, 231.44139651974524, 11, 595141.6404, none, 19450974
 2, 1114.4497762405058, 2575311.9761307337, 16246.565202039395, 47846.824397163124, 4028.0, 157.4196945743583, 1999.584953312523, 145.88195257423743, -330.91044718855005, 12, 347755.0811, none, 19451226
 2, 1384.4434672807763, 2046807.494909473, 25120.733366645556, 51916.7419519874, 4012.0, 116.81147850466031, 1926.2259734709735, 100.41975547057503, 269.9936910402705, 13, 552996.7434, none, 19451478
 2, 1148.589008147041, 2510827.660358762, 16367.664545984799, 55907.48387096774, 4017.0, 162.67176828547795, 2008.0899860891798, 153.1168853929463, -235.8544591337352, 14, 361673.6517, none, 19451733
 2, 1294.0025242011477, 2050434.8752004849, 26200.25406303724, 59959.28060643061, 4015.0, 135.5780525030525, 1857.708051445474, 114.6763096645816, 145.4135160541066, 15, 482551.9139, none, 19451986
 2, 1780.9363077633977, 2620128.0081461323, 27056.014930259673, 63967.853890703875, 4088.0, 60.03932778932779, 1983.6504215569462, 60.03932778932779, 486.93378356225, 16, 389937.6766, none, 19452238
 2, 1928.545174257957, 3333517.3687783657, 26790.153388372524, 68254.41458121814, 4065.0, 127.38798625114762, 2064.31315360486, 116.19177757106448, 147.60886649455915, 17, 341749.3696, none, 19452493
 2, 1439.7606425172041, 2371078.8594075195, 17227.06704172865, 72089.86127946127, 4052.0, 183.31700996897075, 2055.5195166111394, 157.74302189855584, -488.78453174075275, 18, 418856.9211, none, 19452745
 2, 1119.1757665915418, 2427887.2379074097, 25983.22142347261, 76133.22609289618, 3951.0, 140.88565736907358, 1939.1706055185089, 130.72029797493883, -320.58487592566235, 19, 418847.6765, none, 19452997
 2, 1381.340881342707, 2055311.5055431924, 18058.454009934547, 80154.90216443477, 4094.0, 195.83016268481856, 2000.9975103919382, 159.89379805916462, 262.1651147511652, 20, 502534.9167, none, 19453250
 2, 1126.9517570391272, 2436258.2087426945, 22434.45968779171, 84173.16191460055, 3995.0, 160.875377593292, 1946.9425929580204, 153.01691010767098, -254.38912430357982, 21, 370323.0523, none, 19453505
 2, 1355.9297928317062, 2213353.2257843604, 19466.38102817488, 88226.22972821201, 4088.0, 139.12289893944998, 1943.7402900444285, 126.45474160326019, 228.97803579257902, 22, 440265.8102, none, 19453759
 2, 1225.4379168693424, 2274277.272874907, 18953.920594128682, 92210.56402590882, 4059.0, 147.4202268936409, 1916.1391919508374, 131.68665958558285, -130.4918759623638, 23, 473079.4915, none, 19454012
 2, 1497.0310045460144, 2188422.30528525, 14936.153919124223, 96344.65615942028, 4069.0, 192.1072316331012, 1942.7194849896482, 135.02612716528165, 271.593087676672, 24, 500308.5534, none, 19454264
 2, 1258.4433602345462, 2319864.8492850955, 22215.132962804215, 100369.64178339856, 4038.0, 144.9234094572971, 1930.679878525566, 141.6477698229793, -238.58764431146824, 25, 428788.8736, none, 19454517
 2, 1496.361272636268, 2079065.7502219824, 13683.793300747402, 104486.93666918912, 4013.0, 239.96137473700958, 2088.3301646610144, 198.77190867991575, 237.91791240172188, 26, 517675.6116, none, 19454770
 2, 1171.9137819937876, 2588522.5544190668, 23258.59756601726, 108421.8111111111, 3988.0, 151.7514306988618, 1994.8944610877236, 141.90767177508036, -324.4474906424805, 27, 431343.0776, none, 19455023
